buyer,seller,rate,date
142917854,555039497,2,02/10/2017
931864082,555039497,2,02/09/2017
639678783,555039497,2,02/08/2017
423432359,555039497,2,02/06/2017
600764820,555039497,2,02/04/2017
566029098,555039497,2,02/04/2017
247928853,555039497,2,02/03/2017
480142923,555039497,2,02/02/2017
660273195,555039497,2,01/30/2017
281800420,555039497,2,01/30/2017
211868462,555039497,2,01/26/2017
924253477,555039497,2,01/21/2017
438033831,555039497,2,01/20/2017
584919948,555039497,2,01/20/2017
326782464,555039497,2,01/19/2017
452623275,555039497,2,01/19/2017
348562021,555039497,2,01/11/2017
870840877,555039497,2,01/03/2017
496157705,555039497,2,01/02/2017
814880988,555039497,1,04/05/2018
238726148,555039497,1,04/04/2018
246501285,555039497,1,12/10/2017
450689513,555039497,1,12/06/2017
842224834,555039497,1,10/28/2017
779592795,555039497,1,10/16/2017
489667348,555039497,1,10/12/2017
247796479,555039497,1,10/02/2017
933308897,555039497,1,09/30/2017
703120641,555039497,1,09/15/2017
416815081,555039497,1,09/11/2017
769357375,555039497,1,09/01/2017
716427919,555039497,1,08/15/2017
120871807,555039497,1,08/14/2017
747549984,555039497,1,08/14/2017
543742730,555039497,1,06/12/2017
357250327,555039497,1,05/13/2017
655461177,555039497,1,04/28/2017
314787214,555039497,1,04/17/2017
314939956,555039497,1,04/17/2017
601181344,555039497,1,04/15/2017
116237415,555039497,1,04/12/2017
641877321,555039497,1,04/07/2017
476898767,555039497,1,03/30/2017
374984333,555039497,1,03/25/2017
170347418,555039497,1,03/24/2017
494569833,555039497,1,03/15/2017
471516020,555039497,1,03/13/2017
320738058,555039497,1,03/07/2017
110744144,555039497,1,03/07/2017
221618731,555039497,1,02/19/2017
773518036,555039497,1,02/17/2017
822080757,555039497,1,02/03/2017
629704345,555039497,1,01/29/2017
991533622,555039497,1,01/19/2017
658945086,555039497,0,12/26/2017
732071558,555039497,0,09/07/2017
842947139,555039497,0,05/29/2017
863179344,555039497,0,04/24/2017
796537234,555039497,0,03/24/2017
418126335,555039497,0,03/23/2017
809617889,555039497,0,03/14/2017
112919615,555039497,0,03/11/2017
461963639,555039497,0,02/03/2017
461963639,393831357,2,02/14/2018
461963639,806272351,2,08/15/2017
461963639,169799188,2,08/15/2017
461963639,175879795,2,08/13/2017
461963639,653523061,2,08/13/2017
461963639,533632116,2,08/11/2017
461963639,919305479,2,08/09/2017
461963639,467404836,2,08/07/2017
461963639,437633772,2,08/04/2017
461963639,279984045,2,08/03/2017
461963639,244668450,2,07/31/2017
461963639,231245953,2,07/31/2017
461963639,523121717,2,07/27/2017
461963639,212122391,2,07/25/2017
461963639,120042145,2,07/24/2017
461963639,202123464,2,07/22/2017
461963639,555039497,2,02/03/2017
461963639,626306086,2,01/11/2017
461963639,508061155,2,12/10/2016
461963639,555903162,2,12/08/2016
461963639,839401662,2,08/23/2016
461963639,602123720,2,07/16/2016
461963639,775123423,2,07/13/2016
461963639,257098913,2,04/21/2016
461963639,309877144,2,04/15/2016
461963639,252957709,2,04/15/2016
461963639,330375075,2,04/15/2016
461963639,469435437,1,06/12/2017
269548725,469435437,2,10/09/2018
402243705,469435437,2,09/09/2018
286582241,469435437,2,08/13/2018
633179929,469435437,2,05/10/2018
149532964,469435437,2,05/07/2018
205960236,469435437,2,05/07/2018
701016225,469435437,2,05/05/2018
505312491,469435437,2,04/28/2018
292533467,469435437,2,04/02/2018
837233837,469435437,2,03/31/2018
554056096,469435437,2,02/27/2018
181054720,469435437,2,02/20/2018
388228552,469435437,2,02/14/2018
823311337,469435437,2,02/05/2018
571652218,469435437,2,02/05/2018
607960241,469435437,2,02/03/2018
680812923,469435437,2,12/11/2017
170127995,469435437,2,11/20/2017
844805839,469435437,2,11/18/2017
905557772,469435437,2,11/18/2017
387801216,469435437,2,10/30/2017
469435437,744556699,2,10/15/2017
875258240,469435437,2,10/13/2017
861045174,469435437,2,10/07/2017
742929631,469435437,2,10/06/2017
774531964,469435437,2,10/02/2017
383284945,469435437,2,09/29/2017
104974877,469435437,2,09/18/2017
226875474,469435437,2,09/14/2017
198568437,469435437,2,09/11/2017
624710208,469435437,2,09/11/2017
393177153,469435437,2,09/08/2017
131048768,469435437,2,08/08/2017
122950707,469435437,2,08/05/2017
714379362,469435437,2,08/04/2017
992324842,469435437,2,07/24/2017
129758582,469435437,2,07/24/2017
359639801,469435437,2,07/22/2017
254309919,469435437,2,07/21/2017
127128304,469435437,2,07/21/2017
926583989,469435437,2,07/21/2017
129758582,469435437,2,07/21/2017
902367614,469435437,2,07/20/2017
469435437,484011804,2,07/08/2017
469435437,922886143,2,06/18/2017
913327492,469435437,2,06/15/2017
389370972,469435437,2,06/15/2017
568596621,469435437,2,06/12/2017
943364995,469435437,2,06/10/2017
785418634,469435437,2,06/09/2017
231481181,469435437,2,06/07/2017
563245536,469435437,2,05/20/2017
243384720,469435437,2,05/16/2017
724228552,469435437,2,05/07/2017
245457937,469435437,2,04/21/2017
593047480,469435437,2,03/22/2017
202658199,469435437,2,03/18/2017
215189942,469435437,2,03/17/2017
581315021,469435437,2,03/09/2017
784174759,469435437,2,02/07/2017
178807983,469435437,2,02/06/2017
313767650,469435437,2,01/05/2017
469435437,318958841,2,01/01/2017
844105363,469435437,2,11/07/2016
646225380,469435437,2,10/25/2016
635272188,469435437,2,10/04/2016
411217407,469435437,2,09/10/2016
419629614,469435437,2,09/01/2016
969479892,469435437,2,08/27/2016
607665340,469435437,2,08/08/2016
724003076,469435437,2,08/05/2016
983006485,469435437,2,07/28/2016
744898874,469435437,2,07/22/2016
595540361,469435437,2,07/09/2016
613681047,469435437,2,07/08/2016
385603443,469435437,2,06/29/2016
920324482,469435437,2,06/23/2016
469435437,177056470,2,06/16/2016
723867347,469435437,2,06/15/2016
444812318,469435437,2,06/01/2016
723478247,469435437,2,05/14/2016
283906494,469435437,2,05/04/2016
924661442,469435437,2,04/25/2016
292906501,469435437,2,04/24/2016
827491798,469435437,2,04/23/2016
939148966,469435437,2,04/14/2016
601498491,469435437,2,04/12/2016
993527211,469435437,2,04/12/2016
614210246,469435437,2,04/11/2016
967179298,469435437,2,04/07/2016
469435437,887778119,2,04/05/2016
447302867,469435437,2,04/05/2016
675044028,469435437,2,04/05/2016
634993818,469435437,2,03/28/2016
225707835,469435437,2,03/25/2016
314380076,469435437,2,03/12/2016
156364361,469435437,2,03/12/2016
651575643,469435437,2,03/11/2016
760007400,469435437,2,03/04/2016
433874001,469435437,2,02/28/2016
408025515,469435437,2,02/17/2016
177400254,469435437,2,02/14/2016
177008165,469435437,2,02/13/2016
257178075,469435437,2,02/12/2016
354722086,469435437,2,02/09/2016
122463284,469435437,2,02/06/2016
469435437,408125596,2,02/05/2016
871713017,469435437,2,02/04/2016
130354364,469435437,2,02/02/2016
787521883,469435437,2,01/30/2016
469435437,744899443,2,01/30/2016
135535633,469435437,1,08/10/2016
325383084,469435437,1,06/29/2016
585627679,469435437,1,04/08/2016
683899187,469435437,1,02/02/2016
790142392,469435437,0,03/21/2016
441926190,790142392,2,02/27/2018
429462191,790142392,2,02/26/2018
911852683,790142392,2,02/11/2018
500957915,790142392,2,02/06/2018
339934937,790142392,2,08/16/2017
813387619,790142392,2,08/11/2017
790142392,602388352,2,07/08/2017
807679944,790142392,2,04/28/2017
705148351,790142392,2,02/25/2017
304817979,790142392,2,12/07/2016
699022781,790142392,2,10/28/2016
333157810,790142392,2,10/27/2016
225988897,790142392,2,10/05/2016
457238999,790142392,2,09/05/2016
261188380,790142392,2,08/20/2016
113242348,790142392,2,07/25/2016
144628598,790142392,2,07/25/2016
196479390,790142392,2,07/12/2016
317244349,790142392,2,07/11/2016
714774835,790142392,2,07/09/2016
452724979,790142392,2,07/03/2016
483101664,790142392,2,06/26/2016
100517348,790142392,2,06/25/2016
